Province;Commune;Indice CDL;Inégalité Gini/100;Déficit Education;Déficit Santé;Déficit Activité Economique;Déficit Habitat;Déficit Services Sociaux;Déficit Niveau de Vie;InégalitéGINII
Sefrou;Azzaba;0.652;43.3;0.492;0.506;0.041;0.231;0.290;0.527;0.433
Chefchaouen;Bab Berred;0.597;33.8;0.533;0.363;0.440;0.219;0.423;0.442;0.338
Taza;Bab Boudir;0.547;27.1;0.608;0.393;0.140;0.356;0.594;0.630;0.271
Salé;Bab Lamrissa (Arrond,);0.804;35.8;0.281;0.367;0.032;0.232;0.022;0.242;0.358
Taza;Bab Marzouka;0.604;30.2;0.533;0.374;0.143;0.277;0.502;0.546;0.302
Chefchaouen;Bab Taza;0.587;35.8;0.577;0.350;0.490;0.222;0.383;0.457;0.358
Sidi Kacem;Bab Tiouka;0.517;29.7;0.624;0.424;0.397;0.305;0.556;0.590;0.297
Kénitra;Bahhara Ouled Ayad;0.534;23.1;0.700;0.430;0.310;0.327;0.539;0.491;0.231
Guercif;Barkine;0.451;29.5;0.711;0.424;0.442;0.501;0.551;0.664;0.295
Khouribga;Bejaad (Mun,);0.774;40.8;0.397;0.314;0.050;0.172;0.038;0.387;0.408
Chtouka- Ait Baha;Belfaa;0.684;34.4;0.547;0.400;0.043;0.197;0.283;0.424;0.344
Settat;Ben Ahmed (Mun,);0.752;38.8;0.397;0.307;0.040;0.211;0.150;0.381;0.388
Rehamna;Ben Guerir (Mun,);0.774;34.5;0.388;0.342;0.048;0.170;0.044;0.367;0.345
Tan-Tan;Ben Khlil;0.478;26.9;0.494;0.264;0.520;0.430;0.684;0.737;0.269
Berrechid;Ben Maachou;0.583;29.4;0.580;0.439;0.194;0.316;0.511;0.463;0.294
Kénitra;Ben Mansour;0.485;24.7;0.717;0.422;0.640;0.320;0.513;0.480;0.247
Casablanca;Ben M'Sick (Arrond,);0.795;30.9;0.317;0.329;0.025;0.207;0.020;0.331;0.309
Ifrane;Ben Smim;0.620;37.0;0.550;0.402;0.120;0.297;0.414;0.498;0.370
Driouch;Ben Taieb (Mun,);0.727;35.9;0.531;0.245;0.041;0.165;0.274;0.383;0.359
Kénitra;Beni Malek;0.552;25.3;0.673;0.450;0.218;0.329;0.514;0.505;0.253
Béni Mellal;Béni Mellal (Mun,);0.788;35.7;0.349;0.348;0.038;0.179;0.050;0.308;0.357
Benslimane;Benslimane (Mun,);0.800;35.8;0.295;0.311;0.037;0.204;0.053;0.300;0.358
Berkane;Berkane (Mun,);0.784;38.1;0.400;0.338;0.050;0.170;0.022;0.318;0.381
Berrechid;Berrechid (Mun,);0.804;36.4;0.323;0.322;0.024;0.193;0.018;0.296;0.364
Salé;Bettana (Arrond,);0.812;37.5;0.284;0.347;0.031;0.193;0.048;0.224;0.375
Tétouan;Bghaghza;0.446;22.7;0.708;0.473;0.619;0.391;0.547;0.588;0.227
Sefrou;Bhalil (Mun,);0.784;33.8;0.360;0.285;0.013;0.176;0.057;0.404;0.338
Taroudannt;Bigoudine;0.549;32.0;0.672;0.520;0.097;0.395;0.484;0.539;0.320
Azilal;Bin El Ouidane;0.572;25.2;0.565;0.434;0.099;0.468;0.429;0.577;0.252
Chtouka- Ait Baha;Biougra (Mun,);0.761;41.6;0.434;0.301;0.017;0.186;0.130;0.366;0.416
Oued Ed-Dahab;Bir Anzarane;0.483;50.2;0.589;0.353;0.008;0.559;0.762;0.829;0.502
Benslimane;Bir Ennasr;0.447;23.4;0.692;0.442;0.345;0.432;0.711;0.694;0.234
Aousserd;Bir Gandouz;0.628;36.5;0.431;0.423;0.004;0.360;0.431;0.581;0.365
Khouribga;Bir Mezoui;0.644;30.4;0.431;0.420;0.049;0.316;0.413;0.510;0.304
Sidi Kacem;Bir Taleb;0.606;28.9;0.539;0.427;0.148;0.282;0.462;0.509;0.289
Sefrou;Bir Tam Tam;0.647;36.7;0.513;0.452;0.115;0.294;0.281;0.461;0.367
El Hajeb;Bitit;0.593;27.8;0.497;0.446;0.178;0.345;0.441;0.536;0.278
Essaouira;Bizdad;0.578;30.1;0.727;0.437;0.074;0.342;0.382;0.568;0.301
Zagora;Bleida;0.574;29.6;0.570;0.445;0.159;0.408;0.413;0.559;0.296
Al Hoceima;Bni Abdallah;0.558;27.3;0.690;0.442;0.152;0.241;0.509;0.614;0.273
Chefchaouen;Bni Ahmed Cherqia;0.544;31.2;0.570;0.376;0.407;0.299;0.570;0.517;0.312
Chefchaouen;Bni Ahmed Gharbia;0.532;30.8;0.630;0.391;0.442;0.293;0.542;0.507;0.308
Al Hoceima;Bni Ahmed Imoukzan;0.473;33.1;0.644;0.458;0.609;0.415;0.534;0.501;0.331
Al Hoceima;Bni Ammart;0.521;36.7;0.592;0.491;0.468;0.371;0.475;0.475;0.367
Nador;Bni Ansar (Mun,);0.735;41.6;0.461;0.294;0.028;0.187;0.245;0.376;0.416
Larache;Bni Arouss;0.518;31.3;0.606;0.449;0.418;0.306;0.548;0.566;0.313
Azilal;Bni Ayat;0.631;31.9;0.497;0.416;0.247;0.235;0.374;0.445;0.319
Khouribga;Bni Bataou;0.482;21.9;0.562;0.341;0.428;0.405;0.635;0.739;0.219
Al Hoceima;Bni Bchir;0.427;33.4;0.611;0.438;0.873;0.477;0.538;0.503;0.334
Al Hoceima;Bni Bouayach (Mun,);0.743;36.8;0.494;0.314;0.036;0.167;0.155;0.378;0.368
Al Hoceima;Bni Bouchibet;0.483;29.7;0.657;0.400;0.616;0.383;0.530;0.517;0.297
Al Hoceima;Bni Boufrah;0.551;32.7;0.558;0.427;0.475;0.275;0.492;0.465;0.327
Nador;Bni Bouifrour;0.672;25.2;0.535;0.430;0.017;0.175;0.374;0.436;0.252
Al Hoceima;Bni Bounsar;0.507;33.1;0.587;0.434;0.569;0.349;0.531;0.489;0.331
Chefchaouen;Bni Bouzra;0.562;31.7;0.726;0.379;0.240;0.233;0.490;0.562;0.317
Fquih Ben Salah;Bni Chegdale;0.614;29.6;0.643;0.442;0.199;0.210;0.349;0.472;0.296
Nador;Bni Chiker;0.637;37.6;0.579;0.413;0.059;0.182;0.477;0.468;0.376
Chefchaouen;Bni Darkoul;0.548;34.0;0.661;0.378;0.479;0.228;0.500;0.465;0.340
Oujda-Angad;Bni Drar (Mun,);0.770;35.8;0.438;0.244;0.042;0.171;0.067;0.421;0.358
Chefchaouen;Bni Faghloum;0.537;31.3;0.585;0.388;0.486;0.284;0.557;0.481;0.313
Taza;Bni Frassen;0.537;28.5;0.673;0.379;0.290;0.348;0.518;0.572;0.285
Taza;Bni Ftah;0.515;29.5;0.579;0.455;0.469;0.314;0.551;0.541;0.295
Larache;Bni Garfett;0.550;35.3;0.635;0.399;0.285;0.312;0.503;0.568;0.353
Al Hoceima;Bni Gmil;0.514;31.9;0.624;0.355;0.682;0.255;0.537;0.461;0.319
Al Hoceima;Bni Gmil Maksouline;0.471;30.0;0.691;0.369;0.730;0.293;0.587;0.507;0.300
Figuig;Bni Guil;0.451;34.1;0.681;0.343;0.168;0.590;0.688;0.824;0.341
Al Hoceima;Bni Hadifa;0.640;30.2;0.566;0.458;0.167;0.245;0.281;0.445;0.302
Tétouan;Bni Harchen;0.499;30.6;0.733;0.407;0.332;0.335;0.574;0.625;0.306
Azilal;Bni Hassane;0.632;23.1;0.606;0.360;0.032;0.320;0.406;0.484;0.231
Sidi Bennour;Bni Hilal;0.561;27.5;0.636;0.425;0.269;0.329;0.483;0.488;0.275
Tétouan;Bni Idder;0.420;22.3;0.741;0.421;0.721;0.348;0.645;0.605;0.223
Oujda-Angad;Bni Khaled;0.564;28.9;0.543;0.355;0.340;0.332;0.477;0.569;0.289
Settat;Bni Khloug;0.605;24.8;0.573;0.380;0.128;0.305;0.513;0.471;0.248
Tétouan;Bni Leit;0.496;28.6;0.701;0.389;0.518;0.322;0.541;0.553;0.286
Taza;Bni Lent;0.577;30.4;0.562;0.403;0.240;0.293;0.514;0.527;0.304
Tanger-Assilah;Bni Makada (Arrond,);0.766;36.0;0.428;0.334;0.032;0.184;0.034;0.391;0.360
Chefchaouen;Bni Mansour;0.478;33.7;0.736;0.362;0.663;0.245;0.581;0.547;0.337
Driouch;Bni Marghnine;0.618;30.4;0.741;0.410;0.007;0.180;0.545;0.406;0.304
Jerada;Bni Mathar;0.547;26.5;0.603;0.364;0.218;0.390;0.541;0.601;0.265
Errachidia;Bni M'Hamed- Sijelmassa;0.600;29.9;0.546;0.479;0.088;0.333;0.486;0.471;0.299
Sidi Kacem;Bni Oual;0.505;27.2;0.574;0.453;0.457;0.335;0.597;0.556;0.272
Fquih Ben Salah;Bni Oukil;0.582;28.3;0.598;0.375;0.400;0.286;0.366;0.483;0.283
Nador;Bni Oukil Oulad M'Hand;0.601;37.5;0.671;0.389;0.025;0.231;0.544;0.532;0.375
Taounate;Bni Oulid;0.593;29.1;0.542;0.425;0.199;0.331;0.471;0.473;0.291
Taounate;Bni Ounjel Tafraout;0.487;27.6;0.572;0.500;0.555;0.360;0.550;0.539;0.276
Ouezzane;Bni Quolla;0.518;29.2;0.506;0.482;0.473;0.322;0.531;0.581;0.292
Chefchaouen;Bni Rzine;0.505;38.4;0.551;0.397;0.715;0.266;0.543;0.497;0.384
Tétouan;Bni Said;0.578;29.7;0.597;0.329;0.358;0.242;0.421;0.582;0.297
Chefchaouen;Bni Salah;0.536;33.9;0.636;0.441;0.465;0.246;0.528;0.467;0.339
Chefchaouen;Bni Selmane;0.503;34.8;0.662;0.349;0.760;0.221;0.507;0.480;0.348
Nador;Bni Sidel Jbel;0.640;33.4;0.583;0.390;0.053;0.253;0.451;0.430;0.334
Nador;Bni Sidel Louta;0.599;30.0;0.660;0.395;0.061;0.243;0.551;0.498;0.300
Chefchaouen;Bni Smih;0.446;34.6;0.664;0.360;0.809;0.277;0.666;0.546;0.346
Khouribga;Bni Smir;0.499;22.3;0.537;0.466;0.359;0.402;0.608;0.632;0.223
Taounate;Bni Snous;0.541;28.0;0.540;0.398;0.386;0.329;0.567;0.531;0.280
Figuig;Bni Tadjite;0.655;36.8;0.491;0.436;0.129;0.297;0.252;0.463;0.368
Sidi Bennour;Bni Tsiriss;0.576;26.0;0.647;0.320;0.334;0.312;0.435;0.493;0.260
Settat;Bni Yagrine;0.595;20.2;0.688;0.324;0.093;0.314;0.547;0.465;0.202
Mohammadia;Bni Yakhlef;0.705;28.2;0.396;0.439;0.053;0.256;0.248;0.379;0.282
Khouribga;Bni Ykhlef;0.595;28.8;0.509;0.405;0.100;0.348;0.535;0.535;0.288
Zagora;Bni Zoli;0.596;31.2;0.530;0.404;0.143;0.418;0.472;0.457;0.312
Khouribga;Bni Zrantel;0.476;20.2;0.560;0.442;0.414;0.433;0.586;0.711;0.202
Midelt;Bou Azmou;0.504;23.2;0.751;0.459;0.433;0.470;0.293;0.572;0.232
Larache;Bou Jedyane;0.518;32.1;0.583;0.454;0.492;0.314;0.501;0.545;0.321
Chichaoua;Bouabout;0.541;26.2;0.715;0.427;0.083;0.334;0.638;0.557;0.262
Chichaoua;Bouabout Amdlane;0.448;27.4;0.856;0.543;0.168;0.401;0.700;0.643;0.274
Taounate;Bouadel;0.607;27.6;0.475;0.482;0.090;0.298;0.518;0.494;0.276
Figuig;Bouanane;0.585;27.5;0.548;0.428;0.113;0.412;0.419;0.568;0.275
Figuig;Bouarfa (Mun,);0.806;39.1;0.356;0.221;0.041;0.176;0.039;0.331;0.391
Nador;Bouarg;0.629;42.4;0.642;0.417;0.042;0.183;0.481;0.464;0.424
Taounate;Bouarouss;0.536;28.5;0.671;0.372;0.330;0.348;0.506;0.556;0.285
Taounate;Bouchabel;0.497;29.3;0.678;0.387;0.466;0.341;0.517;0.631;0.293
Rehamna;Bouchane;0.569;30.8;0.627;0.416;0.200;0.318;0.476;0.547;0.308
Figuig;Bouchaouene;0.389;35.2;0.868;0.455;0.215;0.586;0.684;0.857;0.352
Taza;Bouchfaa;0.620;27.8;0.528;0.487;0.103;0.280;0.354;0.530;0.278
Driouch;Boudinar;0.615;26.4;0.753;0.452;0.054;0.235;0.402;0.416;0.264
Errachidia;Boudnib (Mun,);0.779;32.6;0.334;0.304;0.041;0.159;0.136;0.354;0.326
Meknès;Boufakrane (Mun,);0.774;39.8;0.358;0.303;0.099;0.183;0.064;0.349;0.398
Berkane;Boughriba;0.618;39.2;0.555;0.481;0.087;0.263;0.403;0.505;0.392
Settat;Bouguargouh;0.584;25.7;0.551;0.362;0.229;0.328;0.531;0.494;0.257
Safi;Bouguedra;0.588;24.4;0.575;0.410;0.170;0.294;0.496;0.524;0.244
Taza;Bouhlou;0.606;28.5;0.578;0.424;0.098;0.283;0.464;0.520;0.285
Sidi Bennour;Bouhmame;0.536;27.7;0.584;0.396;0.393;0.338;0.535;0.535;0.277
Taounate;Bouhouda;0.570;27.9;0.602;0.398;0.273;0.301;0.503;0.505;0.279
Guelmim;Bouizakarne (Mun,);0.802;26.8;0.395;0.211;0.015;0.169;0.072;0.325;0.268
Boujdour;Boujdour (Mun,);0.762;41.9;0.425;0.309;0.027;0.171;0.109;0.386;0.419
Khouribga;Boujniba (Mun,);0.776;31.6;0.311;0.335;0.020;0.212;0.093;0.371;0.316
Khouribga;Boukhrisse;0.493;16.6;0.587;0.389;0.309;0.432;0.641;0.682;0.166
Laayoune;Boukraa;0.608;44.1;0.389;0.227;0.081;0.360;0.811;0.485;0.441
Khouribga;Boulanouare;0.674;31.2;0.378;0.452;0.024;0.323;0.318;0.459;0.312
El Jadida;Boulaouane;0.527;27.4;0.575;0.412;0.485;0.345;0.517;0.503;0.274
Boulemane;Boulemane (Mun,);0.763;33.4;0.391;0.354;0.040;0.201;0.059;0.377;0.334
Sidi Slimane;Boumaiz;0.623;32.1;0.509;0.431;0.063;0.286;0.451;0.525;0.321
Tinghir;Boumalne Dades (Mun,);0.750;43.1;0.445;0.238;0.035;0.181;0.272;0.326;0.431
Figuig;Boumerieme;0.480;36.4;0.728;0.503;0.080;0.493;0.613;0.701;0.364
Midelt;Boumia;0.701;35.5;0.543;0.457;0.078;0.192;0.107;0.419;0.355
Tiznit;Bounaamane;0.610;32.6;0.647;0.495;0.048;0.246;0.464;0.443;0.326
Taroudannt;Bounrar;0.486;28.0;0.686;0.554;0.196;0.491;0.563;0.594;0.280
Khémisset;Bouqachmir;0.419;21.7;0.706;0.398;0.410;0.518;0.709;0.747;0.217
Taza;Bourd;0.583;32.6;0.605;0.412;0.222;0.288;0.502;0.475;0.326
Rehamna;Bourrous;0.561;23.9;0.713;0.433;0.281;0.306;0.344;0.559;0.239
Nouaceur;Bouskoura (Mun,);0.733;31.4;0.396;0.337;0.028;0.234;0.219;0.390;0.314
Béni Mellal;Boutferda;0.403;27.4;0.763;0.514;0.280;0.635;0.641;0.748;0.274
Sidi Ifni;Boutrouch;0.576;27.8;0.736;0.393;0.028;0.261;0.648;0.476;0.278
El Kelaa des Sraghna;Bouya Omar;0.619;32.8;0.536;0.518;0.175;0.247;0.307;0.501;0.328
Taza;Bouyablane;0.314;30.3;0.750;0.618;0.569;0.614;0.757;0.809;0.303
Essaouira;Bouzemmour;0.503;29.9;0.772;0.357;0.100;0.473;0.631;0.649;0.299
Zagora;Bouzeroual;0.533;29.8;0.601;0.374;0.352;0.465;0.538;0.473;0.298
Benslimane;Bouznika (Mun,);0.780;37.2;0.343;0.322;0.041;0.199;0.073;0.339;0.372
Khémisset;Brachoua;0.564;26.2;0.516;0.433;0.240;0.350;0.490;0.589;0.262
Fquih Ben Salah;Bradia;0.663;31.8;0.510;0.397;0.200;0.213;0.268;0.436;0.318
Khouribga;Braksa;0.465;21.7;0.662;0.380;0.403;0.433;0.640;0.693;0.217
Taza;Brarha;0.479;27.1;0.670;0.453;0.507;0.375;0.560;0.559;0.271
Ouezzane;Brikcha;0.532;30.0;0.576;0.441;0.490;0.301;0.486;0.515;0.300
Oujda-Angad;Bsara;0.562;26.4;0.590;0.380;0.141;0.364;0.570;0.583;0.264
Azilal;Bzou;0.668;28.9;0.486;0.416;0.112;0.240;0.313;0.423;0.289
El Jadida;Chaibate;0.518;30.4;0.642;0.456;0.347;0.363;0.531;0.553;0.304
Al Hoceima;Chakrane;0.401;34.1;0.834;0.455;0.583;0.402;0.614;0.703;0.341
Tanger-Assilah;Charf- Mghogha (Arrond,);0.785;37.4;0.380;0.330;0.021;0.179;0.028;0.355;0.374
Tanger-Assilah;Charf-Souani (Arrond,);0.820;39.7;0.311;0.316;0.026;0.181;0.007;0.242;0.397
Meknès;Charqaoua;0.532;25.4;0.628;0.421;0.294;0.333;0.571;0.561;0.254
Benslimane;Charrate;0.595;24.5;0.528;0.458;0.148;0.306;0.510;0.482;0.245
Sidi Kacem;Chbanate;0.635;30.6;0.535;0.392;0.191;0.250;0.336;0.487;0.306
Tan-Tan;Chbika;0.445;31.1;0.550;0.414;0.224;0.584;0.735;0.822;0.311
Chefchaouen;Chefchaouen (Mun,);0.785;43.5;0.377;0.313;0.042;0.209;0.041;0.306;0.435
Chichaoua;Chichaoua (Mun,);0.761;32.8;0.420;0.338;0.034;0.181;0.086;0.372;0.328
El Kelaa des Sraghna;Choara;0.623;36.1;0.553;0.408;0.197;0.300;0.290;0.512;0.361
Errachidia;Chorfa M'Daghra;0.683;31.6;0.386;0.466;0.060;0.268;0.310;0.414;0.316
Kénitra;Chouafaa;0.559;22.9;0.734;0.451;0.260;0.202;0.513;0.489;0.229
Khouribga;Chougrane;0.450;21.4;0.644;0.308;0.479;0.441;0.686;0.740;0.214
Berkane;Chouihia;0.596;45.6;0.643;0.424;0.185;0.284;0.367;0.520;0.456
El Kelaa des Sraghna;Chtaiba;0.613;26.5;0.560;0.403;0.277;0.303;0.315;0.467;0.265
El Jadida;Chtouka;0.584;30.6;0.642;0.415;0.111;0.307;0.532;0.489;0.306
Oued Ed-Dahab;Dakhla (Mun,);0.775;41.5;0.401;0.318;0.028;0.188;0.036;0.379;0.415
Tarfaya;Daoura;0.532;34.5;0.617;0.507;0.122;0.278;0.652;0.631;0.345
Sidi Slimane;Dar Bel Amri;0.615;27.7;0.542;0.437;0.119;0.308;0.401;0.501;0.277
Tétouan;Dar Bni Karrich;0.687;34.5;0.476;0.356;0.043;0.199;0.357;0.445;0.345
Nouaceur;Dar Bouazza (Mun,);0.726;30.5;0.404;0.349;0.030;0.246;0.217;0.399;0.305
Settat;Dar Chaffai;0.587;21.6;0.644;0.341;0.150;0.312;0.533;0.500;0.216
Tanger-Assilah;Dar Chaoui;0.579;35.9;0.684;0.395;0.122;0.303;0.444;0.575;0.359
Sefrou;Dar El Hamra;0.542;28.5;0.593;0.446;0.259;0.337;0.521;0.593;0.285
Driouch;Dar El Kebdani;0.661;29.1;0.524;0.479;0.025;0.191;0.387;0.430;0.291
Sidi Kacem;Dar Gueddari (Mun,);0.722;33.3;0.439;0.392;0.117;0.196;0.086;0.438;0.333
Al  Haouz;Dar Jamaa;0.601;29.8;0.685;0.411;0.098;0.314;0.338;0.548;0.298
Sidi Kacem;Dar Laaslouji;0.592;26.2;0.611;0.468;0.167;0.269;0.374;0.561;0.262
Fquih Ben Salah;Dar Ould Zidouh;0.629;39.5;0.537;0.441;0.233;0.194;0.380;0.444;0.395
Meknès;Dar Oum Soltane;0.602;26.4;0.581;0.405;0.184;0.303;0.397;0.516;0.264
Safi;Dar Si Aissa;0.563;25.3;0.567;0.400;0.133;0.339;0.589;0.598;0.253
Ifrane;Dayat Aoua;0.563;26.3;0.698;0.383;0.133;0.311;0.561;0.535;0.263
Laayoune;Dcheira;0.521;46.3;0.518;0.444;0.210;0.322;0.649;0.727;0.463
Inezgane- Ait Melloul;Dcheira El Jihadia (Mun,);0.801;32.4;0.330;0.329;0.021;0.202;0.017;0.297;0.324
Taourirt;Debdou (Mun,);0.788;33.9;0.412;0.244;0.009;0.173;0.051;0.384;0.339
Azilal;Demnate (Mun,);0.761;34.5;0.431;0.317;0.052;0.179;0.082;0.371;0.345
Chefchaouen;Derdara;0.550;31.5;0.645;0.409;0.336;0.285;0.519;0.507;0.315
Berrechid;Deroua (Mun,);0.783;22.6;0.338;0.348;0.025;0.196;0.073;0.320;0.226
Béni Mellal;Dir El Ksiba;0.618;28.3;0.559;0.457;0.067;0.281;0.432;0.497;0.283
Meknès;Dkhissa;0.637;26.9;0.488;0.412;0.143;0.215;0.369;0.553;0.269
Chichaoua;Douirane;0.609;28.9;0.636;0.464;0.049;0.322;0.345;0.533;0.289
"Agadir-Ida
-Ou-Tanane";Drargua;0.708;34.0;0.488;0.416;0.034;0.187;0.224;0.404;0.340
Driouch;Driouch (Mun,);0.718;33.2;0.524;0.340;0.055;0.191;0.196;0.384;0.332
El Kelaa des Sraghna;Dzouz;0.600;24.3;0.565;0.428;0.317;0.312;0.314;0.466;0.243
Guelmim;Echatea El Abied;0.547;27.0;0.612;0.383;0.055;0.376;0.587;0.703;0.270
Mohammadia;Ech-challalate;0.627;27.7;0.443;0.414;0.027;0.364;0.527;0.465;0.277
Youssoufia;Echemmaia (Mun,);0.751;27.0;0.417;0.342;0.070;0.176;0.088;0.399;0.270
El Kelaa des Sraghna;Eddachra;0.645;33.4;0.454;0.402;0.246;0.279;0.297;0.453;0.334
Taroudannt;Eddir;0.604;29.7;0.676;0.433;0.101;0.300;0.359;0.509;0.297
El Kelaa des Sraghna;El Aamria;0.637;30.5;0.567;0.388;0.166;0.267;0.324;0.465;0.305
Taourirt;El Aioun Sidi Mellouk (Mun,);0.750;35.6;0.462;0.333;0.032;0.169;0.089;0.417;0.356
Oued Ed-Dahab;El Argoub;0.533;36.4;0.489;0.388;0.004;0.498;0.692;0.732;0.364
Taourirt;El Atef;0.400;35.4;0.817;0.403;0.231;0.589;0.714;0.848;0.354
Safi;El Beddouza;0.551;21.7;0.608;0.374;0.148;0.389;0.576;0.597;0.217
Taounate;El Bibane;0.613;28.3;0.535;0.450;0.087;0.299;0.429;0.519;0.283
Khénifra;El Borj;0.453;31.2;0.777;0.482;0.213;0.455;0.667;0.689;0.312
Settat;El Borouj (Mun,);0.730;41.0;0.482;0.301;0.056;0.181;0.182;0.416;0.410
Taounate;El Bsabsa;0.561;28.5;0.672;0.351;0.305;0.303;0.504;0.499;0.285
Taroudannt;El Faid;0.593;29.2;0.694;0.421;0.098;0.338;0.388;0.502;0.292
Khouribga;El Foqra;0.523;24.5;0.578;0.446;0.251;0.360;0.626;0.600;0.245
Youssoufia;El Gantour;0.628;30.7;0.508;0.471;0.135;0.281;0.362;0.475;0.307
Khémisset;El Ganzra;0.512;33.1;0.598;0.410;0.306;0.347;0.632;0.637;0.331
Berrechid;El Gara (Mun,);0.748;37.2;0.401;0.374;0.050;0.188;0.074;0.425;0.372
Safi;El Ghiate;0.492;24.2;0.709;0.360;0.398;0.356;0.572;0.653;0.242
Safi;El Gouraani;0.603;22.0;0.519;0.394;0.115;0.302;0.561;0.489;0.220
Taza;El Gouzate;0.501;27.6;0.553;0.536;0.466;0.323;0.562;0.552;0.276
Taroudannt;El Guerdane (Mun,);0.732;38.0;0.430;0.355;0.032;0.181;0.259;0.353;0.380
Tarfaya;El Hagounia;0.376;44.5;0.612;0.220;1.000;0.600;0.426;0.888;0.445
El Hajeb;El Hajeb (Mun,);0.793;33.4;0.360;0.336;0.024;0.180;0.023;0.320;0.334
Khénifra;El Hammam;0.515;29.6;0.585;0.389;0.334;0.387;0.565;0.646;0.296
Essaouira;El Hanchane (Mun,);0.701;33.7;0.500;0.450;0.024;0.202;0.194;0.424;0.337
El Jadida;El Jadida (Mun,);0.812;38.0;0.273;0.337;0.026;0.191;0.052;0.248;0.380
Khénifra;El Kbab;0.647;29.8;0.550;0.465;0.080;0.296;0.250;0.475;0.298
El Kelaa des Sraghna;El Kelaâ des Sraghna (Mun,);0.780;35.0;0.400;0.348;0.047;0.180;0.029;0.315;0.350
Taroudannt;El Koudia El Beida;0.681;32.5;0.529;0.412;0.058;0.231;0.272;0.411;0.325
Béni Mellal;El Ksiba (Mun,);0.755;35.4;0.429;0.339;0.039;0.183;0.080;0.398;0.354
Tiznit;El Maader El Kabir;0.635;38.8;0.633;0.416;0.013;0.247;0.456;0.423;0.388
Casablanca;El Maarif (Arrond,);0.834;41.8;0.239;0.326;0.024;0.268;0.019;0.120;0.418
Benslimane;El Mansouria (Mun,);0.690;27.0;0.370;0.331;0.038;0.329;0.399;0.393;0.270
El Kelaa des Sraghna;El Marbouh;0.613;27.0;0.566;0.414;0.201;0.266;0.399;0.475;0.270
Fès;El Mariniyine (Arrond,);0.775;32.7;0.400;0.356;0.053;0.184;0.011;0.347;0.327
Laayoune;El Marsa (Mun,);0.753;39.1;0.445;0.300;0.011;0.232;0.055;0.436;0.391
Skhirate- Témara;El Menzeh;0.685;35.4;0.406;0.417;0.046;0.295;0.328;0.396;0.354
Sefrou;El Menzel (Mun,);0.776;33.6;0.349;0.343;0.052;0.176;0.037;0.385;0.336
Boulemane;El Mers;0.490;31.7;0.721;0.482;0.255;0.432;0.521;0.648;0.317
Boulemane;El Orjane;0.564;27.7;0.567;0.480;0.347;0.320;0.407;0.496;0.277
Tan-Tan;El Ouatia (Mun,);0.724;44.3;0.377;0.329;0.032;0.223;0.327;0.369;0.443
Rabat;El Youssoufia (Arrond,);0.812;34.9;0.310;0.326;0.027;0.177;0.009;0.281;0.349
Boulemane;Enjil;0.530;25.9;0.587;0.446;0.280;0.397;0.490;0.619;0.259
Midelt;En-nzala;0.527;31.1;0.585;0.465;0.074;0.514;0.518;0.685;0.311
Boulemane;Ermila;0.601;26.9;0.557;0.433;0.128;0.338;0.416;0.524;0.269
Errachidia;Errachidia (Mun,);0.816;34.5;0.293;0.329;0.035;0.165;0.025;0.259;0.345
El Kelaa des Sraghna;Errafiaya;0.634;24.3;0.575;0.389;0.178;0.269;0.324;0.463;0.243
Midelt;Er-rich (Mun,);0.786;33.9;0.373;0.320;0.034;0.177;0.059;0.323;0.339
Errachidia;Er-rissani;0.524;32.5;0.606;0.466;0.190;0.400;0.583;0.610;0.325
Zagora;Errouha;0.613;29.4;0.599;0.422;0.140;0.414;0.273;0.475;0.294
Errachidia;Er-rteb;0.654;35.4;0.493;0.479;0.068;0.302;0.302;0.430;0.354
Youssoufia;Esbiaat;0.533;26.0;0.608;0.395;0.321;0.322;0.597;0.558;0.260
Essaouira;Essaouira (Mun,);0.793;36.9;0.330;0.352;0.025;0.191;0.034;0.311;0.369
Es-Semara;Es-semara (Mun,);0.766;32.7;0.365;0.294;0.027;0.227;0.161;0.330;0.327
Errachidia;Es-sfalat;0.614;31.6;0.536;0.464;0.041;0.314;0.493;0.466;0.316
Errachidia;Es-sifa;0.634;28.0;0.503;0.434;0.044;0.307;0.445;0.463;0.280
Errachidia;Et-taous;0.631;30.7;0.625;0.392;0.087;0.308;0.363;0.442;0.307
Essaouira;Ezzaouite;0.528;24.8;0.719;0.473;0.194;0.348;0.465;0.634;0.248
Khémisset;Ezzhiliga;0.549;24.5;0.583;0.443;0.235;0.378;0.503;0.563;0.245
Tata;Fam El Hisn (Mun,);0.765;24.7;0.401;0.228;0.056;0.236;0.126;0.361;0.247
Guelmim;Fask;0.673;35.7;0.440;0.458;0.069;0.283;0.281;0.429;0.357
Benslimane;Fdalate;0.629;25.2;0.454;0.392;0.102;0.303;0.504;0.474;0.252
Taounate;Fennassa Bab El Hit;0.493;27.1;0.648;0.480;0.451;0.381;0.532;0.548;0.271
Errachidia;Ferkla El Oulia;0.693;38.3;0.427;0.363;0.070;0.248;0.348;0.386;0.383
Errachidia;Ferkla Es-soufla;0.647;35.4;0.475;0.400;0.134;0.316;0.350;0.443;0.354
Fès;Fès Madina (Arrond,);0.756;35.7;0.383;0.388;0.062;0.213;0.028;0.390;0.357
Errachidia;Fezna;0.657;25.2;0.464;0.423;0.133;0.295;0.294;0.449;0.252
